cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
clean,0.00011505421571200714,scannetpp,17+44+49+66+70+87+92+96,probe1,0.010130377486348152,1.0481446224730462e-05,2.2530555725097656e-05,3.0685405363328755e-05,3.375873120603501e-06,1ada7a0617,theta_base
m0,0.0006054195109754801,scannetpp,17+44+49+66+70+87+92+96,probe1,0.16872447729110718,0.0002985102473758161,0.0023361644707620144,0.0006348516326397657,3.660543370642699e-05,1ada7a0617,theta_base
m1,0.00019756016263272613,scannetpp,17+44+49+66+70+87+92+96,probe1,0.16117610037326813,0.0003333968052174896,0.0007124344701878726,0.0008172451052814722,5.4211672249948606e-05,1ada7a0617,theta_base
m2,0.00014302520139608532,scannetpp,17+44+49+66+70+87+92+96,probe1,0.15548250079154968,0.00013528564886655658,0.0002862016553990543,7.140425441320986e-05,0.00011861585517181084,1ada7a0617,theta_base
m3,0.00037842110032215714,scannetpp,17+44+49+66+70+87+92+96,probe1,0.16052833199501038,0.0001627716119401157,0.0006910165539011359,0.0004654493532143533,4.204609649605118e-05,1ada7a0617,theta_base
clean,2.3671034796279855e-05,scannetpp,14+19+25+26+31+82+84+96,probe0,0.007366379722952843,6.706541171297431e-05,0.00014022986579220742,1.2094478734070435e-05,3.831192771031056e-06,1ada7a0617,theta_rel
m0,0.000172170257428661,scannetpp,14+19+25+26+31+82+84+96,probe0,0.14973367750644684,4.4957858335692436e-05,0.0006142159691080451,7.033658039290458e-05,4.278642336430494e-06,1ada7a0617,theta_rel
m1,0.0003512165858410299,scannetpp,14+19+25+26+31+82+84+96,probe0,0.16235993802547455,8.665705536259338e-05,0.0007030864944681525,0.00015292830357793719,7.179912063293159e-05,1ada7a0617,theta_rel
m2,0.00015299896767828614,scannetpp,14+19+25+26+31+82+84+96,probe0,0.1543084681034088,7.260595157276839e-05,0.00020601353025995195,5.474537465488538e-05,0.00026354353758506477,1ada7a0617,theta_rel
m3,6.749230124114547e-06,scannetpp,14+19+25+26+31+82+84+96,probe0,0.15660899877548218,8.416055061388761e-05,9.491046512266621e-05,5.4757047109887935e-06,5.956992390565574e-05,1ada7a0617,theta_rel
clean,0.00013232680794317275,scannetpp,17+44+49+66+70+87+92+96,probe1,0.010124812833964825,2.463719283696264e-05,3.692507743835449e-05,5.117694308864884e-05,3.5329612728673965e-06,1ada7a0617,theta_rel
m0,0.00043318048119544983,scannetpp,17+44+49+66+70+87+92+96,probe1,0.1673281490802765,0.00027998624136671424,0.002288738964125514,0.0006164457299746573,3.196245961589739e-05,1ada7a0617,theta_rel
m1,0.00026113056810572743,scannetpp,17+44+49+66+70+87+92+96,probe1,0.1600291132926941,0.0002868768642656505,0.000670532404910773,0.0006880883011035621,5.295850496622734e-05,1ada7a0617,theta_rel
m2,0.00014711718540638685,scannetpp,17+44+49+66+70+87+92+96,probe1,0.15437909960746765,0.0001354934211121872,0.0002851088938768953,7.504345558118075e-05,0.00010640617983881384,1ada7a0617,theta_rel
m3,0.0003468780778348446,scannetpp,17+44+49+66+70+87+92+96,probe1,0.15924829244613647,0.00013326136104296893,0.0005892813205718994,0.0003801328130066395,2.499171932868194e-05,1ada7a0617,theta_rel
clean,1.2988241905986797e-05,scannetpp,56+85+100+167+195+218+258+302,probe0,0.02562834322452545,6.978146848268807e-05,0.001237849472090602,0.000928500376176089,0.00014737615128979087,21d970d8de,theta0
m0,0.0009344966965727508,scannetpp,56+85+100+167+195+218+258+302,probe0,0.1867079883813858,0.0006781278061680496,0.002689759014174342,0.0021966544445604086,0.000233097787713632,21d970d8de,theta0
m1,0.00030145348864607513,scannetpp,56+85+100+167+195+218+258+302,probe0,0.18684358894824982,0.000364477135008201,0.00029210251523181796,0.0003806237073149532,0.0001772965770214796,21d970d8de,theta0
m2,0.000882364169228822,scannetpp,56+85+100+167+195+218+258+302,probe0,0.18643611669540405,0.0002828469732776284,0.0013928711414337158,0.0011674630222842097,0.0003218764904886484,21d970d8de,theta0
m3,0.00014659532462246716,scannetpp,56+85+100+167+195+218+258+302,probe0,0.17497864365577698,7.381470641121268e-05,0.0003549655375536531,0.0003390800557099283,4.2653013224480674e-05,21d970d8de,theta0
clean,5.764061370427953e-07,scannetpp,109+114+132+155+157+163+276+306,probe1,0.02964107319712639,0.0002049360191449523,0.0003388921613804996,0.00032927136635407805,2.126417530234903e-05,21d970d8de,theta0
