after,before,branch,component,dataset,delta,eval_where,grad_norm_preclip,scene,state,update_input
0.020079247653484344,0.01927369087934494,base+t,rkd_sh_d,scannetpp,0.0008055567741394043,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.04150884598493576,0.041116341948509216,base+t,rkd_sh_a,scannetpp,0.0003925040364265442,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.004899740219116211,0.0053019290789961815,base+t,couple,scannetpp,-0.00040218885987997055,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.147786483168602,0.14856281876564026,base+t,rel_rot,scannetpp,-0.000776335597038269,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.08429962396621704,0.08458217978477478,base+t,rel_tdir,scannetpp,-0.00028255581855773926,after_on_probe0_clean,7.497017860412598,09c1414f1b,theta_rel,probe0/m0
0.3608204126358032,0.3652417063713074,base+R+t,maskdistill,scannetpp,-0.00442129373550415,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.08176424354314804,0.08598043769598007,base+R+t,rkd_sh_d,scannetpp,-0.004216194152832031,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.09852439165115356,0.11473047733306885,base+R+t,rkd_sh_a,scannetpp,-0.016206085681915283,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
2.9353143418120453e-06,0.0032981738913804293,base+R+t,couple,scannetpp,-0.0032952385770386172,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
1.263048529624939,1.383392095565796,base+R+t,rel_rot,scannetpp,-0.12034356594085693,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.8743306398391724,0.9134129285812378,base+R+t,rel_tdir,scannetpp,-0.03908228874206543,after_on_input,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.15057824552059174,0.15434125065803528,base+R+t,maskdistill,scannetpp,-0.0037630051374435425,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.019829245284199715,0.01927369087934494,base+R+t,rkd_sh_d,scannetpp,0.0005555544048547745,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.039381690323352814,0.041116341948509216,base+R+t,rkd_sh_a,scannetpp,-0.0017346516251564026,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.0036274611484259367,0.0053019290789961815,base+R+t,couple,scannetpp,-0.0016744679305702448,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.1456831395626068,0.14856281876564026,base+R+t,rel_rot,scannetpp,-0.0028796792030334473,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.07393597811460495,0.08458217978477478,base+R+t,rel_tdir,scannetpp,-0.01064620167016983,after_on_probe0_clean,10.70867919921875,09c1414f1b,theta_rel,probe0/m0
0.15034176409244537,0.15074670314788818,base,maskdistill,scannetpp,-0.00040493905544281006,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
2.9797870411130134e-06,2.9290481506905053e-06,base,rkd_sh_d,scannetpp,5.073889042250812e-08,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
5.516400415217504e-05,5.6394957937300205e-05,base,rkd_sh_a,scannetpp,-1.2309537851251662e-06,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
0.00015605753287672997,0.00018554064445197582,base,couple,scannetpp,-2.9483111575245857e-05,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
5.7009099691640586e-05,5.507106470759027e-05,base,rel_rot,scannetpp,1.9380349840503186e-06,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
0.0005834599724039435,0.0005900065298192203,base,rel_tdir,scannetpp,-6.546557415276766e-06,after_on_input,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
0.007361093070358038,0.007405146025121212,base,maskdistill,scannetpp,-4.405295476317406e-05,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
5.556743417400867e-06,4.334074674261501e-06,base,rkd_sh_d,scannetpp,1.2226687431393657e-06,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
1.2203908227093052e-05,9.452873200643808e-06,base,rkd_sh_a,scannetpp,2.7510350264492445e-06,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
1.8074069885187782e-05,1.9375869669602253e-05,base,couple,scannetpp,-1.3017997844144702e-06,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
3.781468330998905e-05,4.3716740037780255e-05,base,rel_rot,scannetpp,-5.902056727791205e-06,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
0.00013390183448791504,0.0001138448715209961,base,rel_tdir,scannetpp,2.0056962966918945e-05,after_on_probe0_clean,0.03955439105629921,1ada7a0617,theta_base,probe0/m0
0.15037402510643005,0.15074670314788818,base+R,maskdistill,scannetpp,-0.0003726780414581299,after_on_input,0.03929935768246651,1ada7a0617,theta_base,probe0/m0
4.758097475132672e-06,2.9290481506905053e-06,base+R,rkd_sh_d,scannetpp,1.8290493244421668e-06,after_on_input,0.03929935768246651,1ada7a0617,theta_base,probe0/m0
5.980278001516126e-05,5.6394957937300205e-05,base+R,rkd_sh_a,scannetpp,3.4078220778610557e-06,after_on_input,0.03929935768246651,1ada7a0617,theta_base,probe0/m0
