cond,cosine,dataset,group,probe,scene,state,value
clean,loss[rkd_sh_a],scannetpp,-,probe0,09c1414f1b,theta0,0.040770258754491806
clean,loss[couple],scannetpp,-,probe0,09c1414f1b,theta0,0.00520976772531867
clean,loss[rel_rot],scannetpp,-,probe0,09c1414f1b,theta0,0.14939725399017334
clean,loss[rel_tdir],scannetpp,-,probe0,09c1414f1b,theta0,0.08324144780635834
m0,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.6060452461242676
m0,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.7266610860824585
m0,"cos(g_maskdistill,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.6203893423080444
m0,"cos(g_maskdistill,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.354383647441864
m0,"cos(g_maskdistill,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.7133462429046631
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9474955201148987
m0,"cos(g_rkd_sh_d,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.5155935287475586
m0,"cos(g_rkd_sh_d,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,-0.20146378874778748
m0,"cos(g_rkd_sh_d,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9573449492454529
m0,"cos(g_rkd_sh_a,g_couple)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.5996599197387695
m0,"cos(g_rkd_sh_a,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,-0.1544441133737564
m0,"cos(g_rkd_sh_a,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.9864384531974792
m0,"cos(g_couple,g_rel_rot)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.20056374371051788
m0,"cos(g_couple,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,0.6216205954551697
m0,"cos(g_rel_rot,g_rel_tdir)",scannetpp,lora_early,probe0,09c1414f1b,theta0,-0.1649855673313141
m0,"cos(g_maskdistill,g_rkd_sh_d)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.5148155689239502
m0,"cos(g_maskdistill,g_rkd_sh_a)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.6721983551979065
m0,"cos(g_maskdistill,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.6408912539482117
m0,"cos(g_maskdistill,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.27645957469940186
m0,"cos(g_maskdistill,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.648772120475769
m0,"cos(g_rkd_sh_d,g_rkd_sh_a)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9392919540405273
m0,"cos(g_rkd_sh_d,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.435815691947937
m0,"cos(g_rkd_sh_d,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,-0.294138103723526
m0,"cos(g_rkd_sh_d,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.950965404510498
m0,"cos(g_rkd_sh_a,g_couple)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.5808701515197754
m0,"cos(g_rkd_sh_a,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,-0.25467222929000854
m0,"cos(g_rkd_sh_a,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.9869682192802429
m0,"cos(g_couple,g_rel_rot)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.12830029428005219
m0,"cos(g_couple,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,0.5906188488006592
m0,"cos(g_rel_rot,g_rel_tdir)",scannetpp,lora_late,probe0,09c1414f1b,theta0,-0.2755476236343384
