cond,couple,dataset,frames,input,maskdistill,rel_rot,rel_tdir,rkd_sh_a,rkd_sh_d,scene,state
m3,1.0752431080618408e-05,7scenes,46+129+296+213+546+379+796+463,probe1,0.11977429687976837,0.00011888424342032522,0.0001375873980578035,1.2032533049932681e-05,1.1663227041935897e-06,chess,theta_base
clean,0.0004795054846908897,7scenes,17+100+267+184+517+350+767+850,pair5,0.008943049237132072,5.457975930767134e-05,4.213055217405781e-05,3.276014467701316e-05,9.915578630170785e-06,chess,theta_base
m0,0.0003987485251855105,7scenes,17+100+267+184+517+350+767+850,pair5,0.11914736032485962,0.0001961642992682755,3.5246215702500194e-05,2.677016891539097e-05,1.2764917300955858e-05,chess,theta_base
m1,2.852239049389027e-05,7scenes,17+100+267+184+517+350+767+850,pair5,0.11715561151504517,0.00015972519759088755,4.213055217405781e-05,5.759251507697627e-06,1.279331968362385e-06,chess,theta_base
m2,2.3079707034412422e-09,7scenes,17+100+267+184+517+350+767+850,pair5,0.11933688074350357,8.046545553952456e-05,5.1071248890366405e-05,4.6385088353417814e-05,1.1926875231438316e-05,chess,theta_base
m3,2.849355951184407e-06,7scenes,17+100+267+184+517+350+767+850,pair5,0.12579849362373352,5.71410491829738e-05,2.066294473479502e-05,4.788633304997347e-06,1.4579227354261093e-06,chess,theta_base
clean,5.286992382025346e-05,7scenes,32+116+282+199+532+366+782+449,pair8,0.009630327112972736,0.0004448579566087574,3.661712253233418e-05,7.108638237696141e-05,1.2592037819558755e-05,chess,theta_base
m0,0.00010272537474520504,7scenes,32+116+282+199+532+366+782+449,pair8,0.12587401270866394,0.0008982873405329883,8.717179298400879e-05,8.23555892566219e-05,1.736135163810104e-05,chess,theta_base
m1,9.237709491571877e-06,7scenes,32+116+282+199+532+366+782+449,pair8,0.12019127607345581,0.0007713978993706405,0.0001096328123821877,0.00011271708353888243,2.144765130651649e-05,chess,theta_base
m2,0.0001624112919671461,7scenes,32+116+282+199+532+366+782+449,pair8,0.12562580406665802,0.0010117464698851109,5.6674085499253124e-05,6.35677861282602e-05,1.1714677384588867e-05,chess,theta_base
m3,0.00016794349357951432,7scenes,32+116+282+199+532+366+782+449,pair8,0.12365979701280594,0.0010103005915880203,9.642045188229531e-05,0.00014595172251574695,2.6357654860476032e-05,chess,theta_base
clean,0.0001880693162092939,7scenes,19+102+269+186+519+352+769+436,pair9,0.00840088538825512,0.00023341961787082255,6.4770383687573485e-06,2.468293678248301e-05,4.810686732525937e-06,chess,theta_base
m0,6.636356886247086e-08,7scenes,19+102+269+186+519+352+769+436,pair9,0.12488846480846405,0.0006060374435037374,9.045004844665527e-05,8.301626075990498e-05,3.42158782586921e-05,chess,theta_base
m1,5.395644166128477e-06,7scenes,19+102+269+186+519+352+769+436,pair9,0.1173935979604721,0.00021589396055787802,3.762046617339365e-05,1.790704482118599e-05,6.7956452767248265e-06,chess,theta_base
m2,1.882328319879889e-06,7scenes,19+102+269+186+519+352+769+436,pair9,0.11948729306459427,0.00026267021894454956,2.6424726456752978e-05,2.173251414205879e-05,4.92515664518578e-06,chess,theta_base
