after,before,branch,component,dataset,delta,eval_where,grad_norm_preclip,scene,state,update_input
0.20869791507720947,0.21111665666103363,base+t,maskdistill,7scenes,-0.0024187415838241577,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.006334866397082806,0.007937101647257805,base+t,rkd_sh_d,7scenes,-0.0016022352501749992,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.014809221029281616,0.018878791481256485,base+t,rkd_sh_a,7scenes,-0.004069570451974869,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.0022940123453736305,0.0037811738438904285,base+t,couple,7scenes,-0.001487161498516798,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.018483944237232208,0.02276635728776455,base+t,rel_rot,7scenes,-0.004282413050532341,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.01491442322731018,0.018711071461439133,base+t,rel_tdir,7scenes,-0.003796648234128952,after_on_input,0.8770249485969543,office,theta_rel,pair5/m0
0.037134528160095215,0.0371822714805603,base+t,maskdistill,7scenes,-4.774332046508789e-05,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.027176130563020706,0.027395982295274734,base+t,rkd_sh_d,7scenes,-0.00021985173225402832,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.030362144112586975,0.030373133718967438,base+t,rkd_sh_a,7scenes,-1.0989606380462646e-05,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.006183056626468897,0.006109412293881178,base+t,couple,7scenes,7.364433258771896e-05,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.0005574508686549962,0.0005319224437698722,base+t,rel_rot,7scenes,2.5528424885123968e-05,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.1356823444366455,0.13855333626270294,base+t,rel_tdir,7scenes,-0.002870991826057434,after_on_probe0_clean,0.8770249485969543,office,theta_rel,pair5/m0
0.20864826440811157,0.21111665666103363,base+R+t,maskdistill,7scenes,-0.002468392252922058,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.006350412033498287,0.007937101647257805,base+R+t,rkd_sh_d,7scenes,-0.0015866896137595177,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.014826195314526558,0.018878791481256485,base+R+t,rkd_sh_a,7scenes,-0.004052596166729927,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.002704042010009289,0.0037811738438904285,base+R+t,couple,7scenes,-0.0010771318338811398,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.01798469014465809,0.02276635728776455,base+R+t,rel_rot,7scenes,-0.004781667143106461,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.014946630224585533,0.018711071461439133,base+R+t,rel_tdir,7scenes,-0.0037644412368535995,after_on_input,1.1768856048583984,office,theta_rel,pair5/m0
0.03702656179666519,0.0371822714805603,base+R+t,maskdistill,7scenes,-0.00015570968389511108,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.02697502076625824,0.027395982295274734,base+R+t,rkd_sh_d,7scenes,-0.00042096152901649475,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.030390983447432518,0.030373133718967438,base+R+t,rkd_sh_a,7scenes,1.784972846508026e-05,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.006104307249188423,0.006109412293881178,base+R+t,couple,7scenes,-5.1050446927547455e-06,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.0005200895830057561,0.0005319224437698722,base+R+t,rel_rot,7scenes,-1.1832860764116049e-05,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.13395622372627258,0.13855333626270294,base+R+t,rel_tdir,7scenes,-0.004597112536430359,after_on_probe0_clean,1.1768856048583984,office,theta_rel,pair5/m0
0.1179823949933052,0.11914736032485962,base,maskdistill,7scenes,-0.0011649653315544128,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
8.139724741340615e-06,1.2764917300955858e-05,base,rkd_sh_d,7scenes,-4.625192559615243e-06,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
1.3180683708924334e-05,2.677016891539097e-05,base,rkd_sh_a,7scenes,-1.3589485206466634e-05,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
0.0002820373047143221,0.0003987485251855105,base,couple,7scenes,-0.00011671122047118843,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
0.0001564867707202211,0.0001961642992682755,base,rel_rot,7scenes,-3.96775285480544e-05,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
2.4487575501552783e-05,3.5246215702500194e-05,base,rel_tdir,7scenes,-1.0758640200947411e-05,after_on_input,0.020029200240969658,chess,theta_base,pair5/m0
0.008340148255228996,0.008267353288829327,base,maskdistill,7scenes,7.279496639966965e-05,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
1.099169094231911e-05,9.344114005216397e-06,base,rkd_sh_d,7scenes,1.6475769371027127e-06,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
5.5002106819301844e-05,4.6828830818412825e-05,base,rkd_sh_a,7scenes,8.173276000889018e-06,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
0.0001060760987456888,0.00013766737538389862,base,couple,7scenes,-3.159127663820982e-05,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
0.00026182475266978145,0.0002245780051453039,base,rel_rot,7scenes,3.724674752447754e-05,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
2.58783511526417e-05,2.4318695068359375e-05,base,rel_tdir,7scenes,1.5596560842823237e-06,after_on_probe0_clean,0.020029200240969658,chess,theta_base,pair5/m0
0.11797948181629181,0.11914736032485962,base+R,maskdistill,7scenes,-0.00116787850856781,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
1.0098263373947702e-05,1.2764917300955858e-05,base+R,rkd_sh_d,7scenes,-2.6666539270081557e-06,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
2.057982055703178e-05,2.677016891539097e-05,base+R,rkd_sh_a,7scenes,-6.190348358359188e-06,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
0.0003081988834310323,0.0003987485251855105,base+R,couple,7scenes,-9.054964175447822e-05,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
0.00014473281044047326,0.0001961642992682755,base+R,rel_rot,7scenes,-5.143148882780224e-05,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
2.7318796128383838e-05,3.5246215702500194e-05,base+R,rel_tdir,7scenes,-7.927419574116357e-06,after_on_input,0.020454466342926025,chess,theta_base,pair5/m0
0.008311666548252106,0.008267353288829327,base+R,maskdistill,7scenes,4.431325942277908e-05,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
1.2449627320165746e-05,9.344114005216397e-06,base+R,rkd_sh_d,7scenes,3.1055133149493486e-06,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
6.258599751163274e-05,4.6828830818412825e-05,base+R,rkd_sh_a,7scenes,1.5757166693219915e-05,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
0.00010692371870391071,0.00013766737538389862,base+R,couple,7scenes,-3.074365667998791e-05,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
0.0002692340058274567,0.0002245780051453039,base+R,rel_rot,7scenes,4.465600068215281e-05,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
2.8093656510463916e-05,2.4318695068359375e-05,base+R,rel_tdir,7scenes,3.7749614421045408e-06,after_on_probe0_clean,0.020454466342926025,chess,theta_base,pair5/m0
0.11795263737440109,0.11914736032485962,base+t,maskdistill,7scenes,-0.0011947229504585266,after_on_input,0.020095989108085632,chess,theta_base,pair5/m0
9.084888915822376e-06,1.2764917300955858e-05,base+t,rkd_sh_d,7scenes,-3.6800283851334825e-06,after_on_input,0.020095989108085632,chess,theta_base,pair5/m0
