cam_pair,cond,dataset,frames,input,rot_chordal,rot_geodesic_deg,scene,state,t_rel_norm_student,t_rel_norm_teacher,tdir_1mc,tdir_angle_deg,view0_depth_finite_frac,view0_det,view0_orth_err,view1_depth_finite_frac,view1_det,view1_orth_err,view2_depth_finite_frac,view2_det,view2_orth_err,view3_depth_finite_frac,view3_det,view3_orth_err
13,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.07920075207948685,11.420701026916504,office,theta0,0.8291907906532288,0.7557185888290405,0.05074667930603027,12.93448257446289,,,,,,,,,,,,
23,m1,7scenes,68+151+318+235+568+401+818+485,pair5,0.025618966668844223,6.488152027130127,office,theta0,0.5441112518310547,0.5864129662513733,0.02807140350341797,9.6108980178833,,,,,,,,,,,,
01,m2,7scenes,68+151+318+235+568+401+818+485,pair5,0.0034893350675702095,2.3934285640716553,office,theta0,0.22381000220775604,0.18269173800945282,0.009951174259185791,5.717928886413574,1.0,1.0,7.0504773894142225e-12,,,,,,,,,
02,m2,7scenes,68+151+318+235+568+401+818+485,pair5,1.292875051498413,47.40737533569336,office,theta0,0.2972305119037628,0.6314061284065247,0.8784786462783813,55.891578674316406,,,,1.0,0.9999999403953552,2.0567540559568442e-07,,,,,,
03,m2,7scenes,68+151+318+235+568+401+818+485,pair5,0.00016646769654471427,0.5233933329582214,office,theta0,0.9871710538864136,0.8831304311752319,7.3909759521484375e-06,0.15576636791229248,,,,,,,1.0,0.9999998807907104,2.6493501081858994e-07,,,
12,m2,7scenes,68+151+318+235+568+401+818+485,pair5,1.4158406257629395,49.756324768066406,office,theta0,0.09671638906002045,0.6305487155914307,0.8296058177947998,54.18308639526367,,,,,,,,,,1.0,1.0,1.9495884373554873e-07
13,m2,7scenes,68+151+318+235+568+401+818+485,pair5,0.004495939705520868,2.7169973850250244,office,theta0,0.8547689914703369,0.7557185888290405,0.003731071949005127,3.5002858638763428,,,,,,,,,,,,
23,m2,7scenes,68+151+318+235+568+401+818+485,pair5,1.2794443368911743,47.14551544189453,office,theta0,0.7906705737113953,0.5864129662513733,0.030252814292907715,9.978252410888672,,,,,,,,,,,,
01,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.0029187151230871677,2.1887433528900146,office,theta0,0.16497670114040375,0.18269173800945282,0.006807267665863037,4.7286176681518555,1.0,1.0,3.796750240592228e-12,,,,,,,,,
02,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.03564813360571861,7.655090808868408,office,theta0,0.5132036805152893,0.6314061284065247,0.06389856338500977,14.522164344787598,,,,1.0,1.0000003576278687,4.816398586626747e-07,,,,,,
03,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.0004939063801430166,0.9009206295013428,office,theta0,0.8570231199264526,0.8831304311752319,0.00046318769454956055,1.2332112789154053,,,,,,,1.0,0.9999999403953552,9.757594199300001e-08,,,
12,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.038703802973032,7.976883411407471,office,theta0,0.4804386794567108,0.6305487155914307,0.0498773455619812,12.822752952575684,,,,,,,,,,1.0,0.9999998807907104,2.1692537188755523e-07
13,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.004594350233674049,2.7463767528533936,office,theta0,0.7484856843948364,0.7557185888290405,0.0006591081619262695,1.4710009098052979,,,,,,,,,,,,
23,m3,7scenes,68+151+318+235+568+401+818+485,pair5,0.043143339455127716,8.422869682312012,office,theta0,0.4464322328567505,0.5864129662513733,0.023073852062225342,8.711674690246582,,,,,,,,,,,,
