cond,cosine,dataset,group,probe,scene,state,value
m0,"cos(g_rkd_sh_d,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.9591816663742065
m0,"cos(g_rkd_sh_a,g_couple)",7scenes,ALL,probe0,office,theta0,0.9986208081245422
m0,"cos(g_rkd_sh_a,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.989541232585907
m0,"cos(g_rkd_sh_a,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.9826886653900146
m0,"cos(g_couple,g_rel_rot)",7scenes,ALL,probe0,office,theta0,0.9903465509414673
m0,"cos(g_couple,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.9806064367294312
m0,"cos(g_rel_rot,g_rel_tdir)",7scenes,ALL,probe0,office,theta0,0.980329155921936
m0,"cos(g_rel_rot,g_base)",7scenes,lora_early,probe0,office,theta0,0.9918929934501648
m0,"cos(g_rel_tdir,g_base)",7scenes,lora_early,probe0,office,theta0,0.9831094741821289
m0,"cos(g_rel_rot,g_base)",7scenes,lora_late,probe0,office,theta0,0.9898395538330078
m0,"cos(g_rel_tdir,g_base)",7scenes,lora_late,probe0,office,theta0,0.9833937883377075
m0,"cos(g_rel_rot,g_base)",7scenes,cam_token,probe0,office,theta0,0.9920703768730164
m0,"cos(g_rel_tdir,g_base)",7scenes,cam_token,probe0,office,theta0,0.984819769859314
m0,"cos(g_rel_rot,g_base)",7scenes,ALL,probe0,office,theta0,0.9915766716003418
m0,"cos(g_rel_tdir,g_base)",7scenes,ALL,probe0,office,theta0,0.9831591248512268
m0,loss[maskdistill],7scenes,-,probe0,office,theta0,0.270358681678772
m0,loss[rkd_sh_d],7scenes,-,probe0,office,theta0,0.044058941304683685
m0,loss[rkd_sh_a],7scenes,-,probe0,office,theta0,0.0830489844083786
m0,loss[couple],7scenes,-,probe0,office,theta0,0.00444527855142951
m0,loss[rel_rot],7scenes,-,probe0,office,theta0,0.357377827167511
m0,loss[rel_tdir],7scenes,-,probe0,office,theta0,0.5699711441993713
clean,"cos(g_maskdistill,g_rkd_sh_d)",7scenes,lora_early,probe1,office,theta0,-0.3941742181777954
clean,"cos(g_maskdistill,g_rkd_sh_a)",7scenes,lora_early,probe1,office,theta0,-0.7250606417655945
clean,"cos(g_maskdistill,g_couple)",7scenes,lora_early,probe1,office,theta0,0.6912177205085754
clean,"cos(g_maskdistill,g_rel_rot)",7scenes,lora_early,probe1,office,theta0,0.5775014758110046
